22:28:14 INFO  manager.ApplicationManager - Tests start on Chrome
22:28:20 INFO  tests.TestBase - Test searchPositiveTest started
22:28:20 INFO  manager.WebDriverListener - Start searching element---> By.id: city
22:28:20 INFO  manager.WebDriverListener - Element with locator--->By.id: city is found
22:28:20 INFO  manager.WebDriverListener - Start searching element---> By.cssSelector: div.pac-item
22:28:21 INFO  manager.WebDriverListener - Element with locator--->By.cssSelector: div.pac-item is found
22:28:21 INFO  manager.WebDriverListener - Start searching element---> By.id: dates
22:28:21 INFO  manager.WebDriverListener - Element with locator--->By.id: dates is found
22:28:21 INFO  manager.WebDriverListener - Start searching element---> By.id: city
22:28:21 INFO  manager.WebDriverListener - Element with locator--->By.id: city is found
22:28:21 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@type='submit']
22:28:21 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@type='submit'] is found
22:28:21 INFO  tests.TestBase - ================================
