19:15:28 INFO  manager.ApplicationManager - Tests start on Chrome
19:15:33 INFO  manager.TestNGListener - Test started
19:15:33 INFO  tests.TestBase - Test testLoginPositiveUserDTO started
19:15:33 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Logout ']
19:15:38 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Logout '] is found
19:15:38 INFO  manager.TestNGListener - TesttestLoginPositiveUserDTO started
19:15:38 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Log in ']
19:15:38 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Log in '] is found
19:15:38 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[@id='email']
19:15:38 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[@id='email'] is found
19:15:38 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[@id='password']
19:15:38 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[@id='password'] is found
19:15:38 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@type='submit']
19:15:39 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@type='submit'] is found
19:15:42 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Logout ']
19:15:42 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Logout '] is found
19:15:42 INFO  manager.TestNGListener - Test testLoginPositiveUserDTO successfully
19:15:42 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@type='button']
19:15:42 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@type='button'] is found
19:15:42 INFO  tests.TestBase - ================================
19:15:42 INFO  manager.TestNGListener - Test finished
