18:24:13 INFO  manager.ApplicationManager - Tests start on Chrome
18:24:19 INFO  tests.TestBase - Test searchPositiveTest started
18:24:19 INFO  manager.WebDriverListener - Start searching element---> By.id: city
18:24:19 INFO  manager.WebDriverListener - Element with locator--->By.id: city is found
18:24:19 INFO  manager.WebDriverListener - Start searching element---> By.cssSelector: div.pac-item
18:24:20 INFO  manager.WebDriverListener - Element with locator--->By.cssSelector: div.pac-item is found
18:24:20 INFO  manager.WebDriverListener - Start searching element---> By.id: dates
18:24:20 INFO  manager.WebDriverListener - Element with locator--->By.id: dates is found
18:24:21 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //div[.=' 14 ']
18:24:21 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //div[.=' 14 '] is found
18:24:24 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //div[.=' 1 ']
18:24:24 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //div[.=' 1 '] is found
18:24:27 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@type='submit']
18:24:27 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@type='submit'] is found
18:24:27 INFO  tests.TestBase - ================================
